City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
132,Farafangana,MG,-22.8167,47.8333,77.63,93,100,36.51,heavy intensity rain
133,Hukuntsi,BW,-24.0,21.75,75.94,53,0,13.44,clear sky
134,Kindu,CD,-2.95,25.95,67.26,98,79,2.39,light rain
135,Aparecida Do Taboado,BR,-20.0867,-51.0936,81.9,74,88,5.08,light rain
136,Tual,ID,-5.6667,132.75,83.25,74,100,9.26,overcast clouds
137,Bridlington,GB,54.0831,-0.1919,48.38,86,100,26.08,overcast clouds
138,Te Anau,NZ,-45.4167,167.7167,53.08,65,12,2.84,few clouds
139,Mount Gambier,AU,-37.8333,140.7667,57.11,88,60,5.75,broken clouds
140,Bengkulu,ID,-3.8004,102.2655,72.81,96,100,9.31,heavy intensity rain
141,Kavieng,PG,-2.5744,150.7967,81.54,77,39,5.39,scattered clouds
142,Sangar,RU,63.9242,127.4739,-34.53,99,100,3.24,overcast clouds
143,Luderitz,NA,-26.6481,15.1594,67.69,79,97,3.2,overcast clouds
144,Leningradskiy,RU,69.3833,178.4167,-22.09,96,8,3.94,clear sky
145,Olafsvik,IS,64.8945,-23.7142,30.94,86,100,29.89,heavy snow
146,Badou,TG,7.5833,0.6,77.47,23,0,3.27,clear sky
147,Bethel,US,41.3712,-73.414,26.47,70,5,1.01,clear sky
148,Avera,US,33.194,-82.5271,53.11,33,3,7.9,clear sky
149,Rafsanjan,IR,30.4067,55.9939,47.16,35,2,3.98,clear sky
150,Ahipara,NZ,-35.1667,173.1667,72.18,97,99,5.32,light rain
151,Sechura,PE,-5.5569,-80.8222,81.99,55,17,17.31,few clouds
152,Itarema,BR,-2.9248,-39.9167,80.26,76,13,11.9,few clouds
153,Viedma,AR,-40.8135,-62.9967,63.48,47,83,14.09,broken clouds
154,Semirom,IR,31.4167,51.5667,18.86,90,8,3.0,clear sky
155,Nanortalik,GL,60.1432,-45.2371,10.2,60,67,16.53,broken clouds
156,Lac-Megantic,CA,45.5834,-70.8823,8.62,88,96,13.27,overcast clouds
157,Riyadh,SA,24.6877,46.7219,55.54,32,0,10.36,clear sky
158,Barcelona,ES,41.3888,2.159,54.48,86,20,1.14,few clouds
159,Ngaoundere,CM,7.3167,13.5833,63.93,21,20,4.63,few clouds
160,Belmonte,BR,-15.8631,-38.8828,77.16,85,78,8.93,light rain
161,Alofi,NU,-19.0595,-169.9187,79.77,79,100,15.26,moderate rain
162,Poum,NC,-20.2333,164.0167,80.56,74,99,3.22,overcast clouds
163,Freeport,US,40.6576,-73.5832,29.12,58,11,5.99,few clouds
164,Moa,CU,20.6569,-74.9403,77.9,67,18,10.69,few clouds
165,Faya,SA,18.3851,42.4509,54.1,78,8,1.25,clear sky
166,Husavik,IS,66.0449,-17.3389,29.46,96,100,30.2,snow
167,Laguna,US,38.421,-121.4238,67.84,53,0,3.0,clear sky
168,Chumphon,TH,10.3333,98.8333,68.13,98,38,1.86,scattered clouds
169,Tamano,JP,34.4833,133.95,34.39,59,12,23.09,few clouds
170,Vredendal,ZA,-31.6683,18.5012,75.42,45,3,5.03,clear sky
171,Ravar,IR,31.2656,56.8055,48.34,43,0,3.58,clear sky
172,Namibe,AO,-15.1961,12.1522,73.44,69,100,11.25,overcast clouds
173,Port Alfred,ZA,-33.5906,26.891,70.54,83,89,25.97,light rain
174,Nizhnevartovsk,RU,60.9344,76.5531,15.82,100,100,8.95,light snow
175,Labuan,MY,5.2767,115.2417,78.96,82,76,9.13,broken clouds
176,Lesu,RO,47.3167,24.75,27.27,96,95,2.51,overcast clouds
177,Palang,BD,23.2167,90.35,62.64,63,0,3.44,clear sky
178,Punghina,RO,44.2819,22.9347,43.99,72,40,16.02,scattered clouds
179,Saint-Francois,FR,46.4154,3.9054,36.41,92,0,3.44,clear sky
180,Unidad,PH,8.535,126.2306,73.58,95,35,4.97,scattered clouds
181,Naron,ES,43.5167,-8.1528,51.03,84,2,6.85,clear sky
182,Mundo Nuevo,MX,18.7,-95.5,61.07,74,100,23.6,overcast clouds
183,Priiskovyy,RU,51.9333,116.6333,-18.67,100,92,2.06,overcast clouds
184,Faanui,PF,-16.4833,-151.75,81.5,72,12,19.75,few clouds
185,Puro,PH,12.4841,123.3827,76.89,80,89,13.56,overcast clouds
186,Yumen,CN,40.2833,97.2,15.48,38,100,13.49,overcast clouds
187,Saint-Philippe,RE,-21.3585,55.7679,83.79,85,100,19.91,light rain
188,Monterotondo,IT,42.0525,12.6187,55.51,87,100,2.17,overcast clouds
189,Komsomolskiy,UZ,40.4272,71.7189,40.42,44,100,6.91,overcast clouds
190,Vossevangen,NO,60.623,6.4229,38.61,96,100,12.1,light rain
191,Changji,CN,44.0167,87.3167,0.39,85,84,2.24,mist
192,Berdigestyakh,RU,62.0989,126.6992,-21.82,100,99,1.21,overcast clouds
